"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.97241432,39.79033174,"Carpio Sanguinette Park","Neighborhood",FALSE,FALSE,TRUE,623946.113442177,"80310015001",29,"Globeville"
-104.97272998,39.67151755,"Harvard Gulch Mini Park","Pocket",FALSE,FALSE,TRUE,27985.6651318714,"80310030042",64,"University"
-104.97351904,39.74376465,"Park Ave Parks","Neighborhood",FALSE,FALSE,FALSE,118570.588078767,"80310026021",47,"North Capitol Hill"
-104.97488634,39.7543125,"Quick (Lenore B) Park","Pocket",FALSE,FALSE,FALSE,18889.9421835679,"80310024021",26,"Five Points"
-104.97535273,39.75506804,"Glenarm Recreation Center","Recreation Center",FALSE,FALSE,FALSE,44973.9223745479,"80310024031",26,"Five Points"
-104.97580932,39.72057723,"Alamo Placita Park","Neighborhood",FALSE,FALSE,FALSE,201403.572524003,"80310028012",59,"Speer"
-104.97632553,39.76127925,"Mestizo-Curtis Park","Neighborhood",FALSE,FALSE,TRUE,370893.146874201,"80310016001",26,"Five Points"
-104.97639755,39.7186701,"Hungarian Freedom Park","Neighborhood",FALSE,FALSE,FALSE,74990.3688892681,"80310028031",59,"Speer"
-104.97684284,39.77706119,"Globeville Landing Park","Neighborhood",FALSE,FALSE,TRUE,350225.072559207,"80310035001",25,"Elyria Swansea"
-104.97886048,39.67244904,"Harvard Gulch Golf Course","Golf",FALSE,FALSE,FALSE,563841.442274559,"80310030022",53,"Rosedale"
-104.97930212,39.67582735,"Harvard Gulch North Park","Athletic Complex",FALSE,FALSE,FALSE,357677.343437043,"80310030021",53,"Rosedale"
-104.97986219,39.6732092,"Harvard Gulch Park","Community",FALSE,FALSE,TRUE,1659894.37080848,"80310030022",53,"Rosedale"
-104.98062272,39.72821501,"Grant-Humphrey's Mansion Park","Special Use",FALSE,FALSE,FALSE,81999.5608894593,"80310027023",9,"Capitol Hill"
