"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"10006","3298",658,"40226","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","specialNeedsStudent,nature,academic,scholarshipsAvailable",2019-07-08,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10007","3299",658,"40226","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","specialNeedsStudent,nature,academic,scholarshipsAvailable",2019-07-09,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10008","33",986,"43220","80401","710 10th St. Suite 200",10,"525","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,nature,sports,academic",2019-08-09,"12:00 AM","12:00 AM",24,18,14,39.737371,-104.988115,"39.737371 -104.988115"
"10009","330",993,"43578","80128","8355 S. Wadsworth Blvd",0,"320","2019-08-05 00:00:00","2019-08-09 00:00:00","arts,drama,academic,offersBeforeAfterCare,stem,cooking,sports,nature,dance",2019-08-05,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
"10010","3300",658,"40226","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","specialNeedsStudent,nature,academic,scholarshipsAvailable",2019-07-10,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10011","3301",658,"40226","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","specialNeedsStudent,nature,academic,scholarshipsAvailable",2019-07-11,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10012","3302",658,"40226","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","specialNeedsStudent,nature,academic,scholarshipsAvailable",2019-07-12,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10013","3303",658,"40227","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,scholarshipsAvailable,specialNeedsStudent,nature",2019-07-29,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10014","3304",658,"40227","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,scholarshipsAvailable,specialNeedsStudent,nature",2019-07-30,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10015","3305",658,"40227","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,scholarshipsAvailable,specialNeedsStudent,nature",2019-07-31,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10016","3306",658,"40227","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,scholarshipsAvailable,specialNeedsStudent,nature",2019-08-01,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10017","3307",658,"40227","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,scholarshipsAvailable,specialNeedsStudent,nature",2019-08-02,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10018","3308",658,"40228","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable,nature",2019-06-10,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10019","3309",658,"40228","80303","1466 N. 64rd Street",12,"359","2019-06-10 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable,nature",2019-06-11,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
