"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310034023",31.25,NA,"45.3 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310029023",19.2666666666667,66.9833333333333,"22.3 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310029023",11.5166666666667,39.0333333333333,"5.2 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310029023",39.1166666666667,NA,"52.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310029023",37.2833333333333,NA,"54.0 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310029023",36.0166666666667,NA,"46.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310029023",29.8166666666667,NA,"42.9 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030011",21.2666666666667,53.0333333333333,"22.0 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030011",13.1833333333333,37.1833333333333,"6.6 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030011",41.1166666666667,NA,"52.0 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030011",39.2666666666667,NA,"53.7 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030011",38,NA,"46.4 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030011",31.8,NA,"42.6 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028021",20.05,59.25,"10.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028021",7.58333333333333,31.5666666666667,"3.3 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028021",41.35,NA,"48.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028021",39.5,NA,"49.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028021",38.2333333333333,NA,"42.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028021",32.05,NA,"38.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028022",20.3,64.65,"10.9 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028022",7.83333333333333,28.85,"3.6 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028022",41.6833333333333,NA,"48.7 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028022",39.85,NA,"50.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028022",38.5666666666667,NA,"43.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028022",32.3833333333333,NA,"39.3 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028023",21.3,63.9,"11.3 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028023",8.83333333333333,34.0833333333333,"4.1 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028023",40.5,NA,"52.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028023",38.6666666666667,NA,"54.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028023",37.3833333333333,NA,"47.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028023",31.2,NA,"43.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028031",19.0833333333333,49.15,"10.0 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028031",6.8,25.1,"2.9 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028031",42.6833333333333,NA,"49.1 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028031",40.8333333333333,NA,"50.8 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028031",39.5666666666667,NA,"43.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028031",33.3666666666667,NA,"39.7 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028032",20.4166666666667,55.2666666666667,"10.7 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028032",8.21666666666667,31.2166666666667,"3.5 km"
