"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"118","1500000US080310019012",80310019012,"Block Group 2, Census Tract 19.01, Denver County, Colorado",1763,338,1343,334,135,98,43,49,32,42,0,11,193,169,17,27,0,11,17,27
"119","1500000US080310019021",80310019021,"Block Group 1, Census Tract 19.02, Denver County, Colorado",812,204,651,188,21,20,0,11,85,48,4,7,10,21,41,41,0,11,41,41
"120","1500000US080310020001",80310020001,"Block Group 1, Census Tract 20, Denver County, Colorado",1918,201,1684,199,112,83,0,11,53,50,10,15,35,44,24,28,0,11,24,28
"121","1500000US080310021001",80310021001,"Block Group 1, Census Tract 21, Denver County, Colorado",1140,310,910,227,108,101,0,11,0,11,0,11,0,11,122,113,0,11,122,113
"122","1500000US080310021002",80310021002,"Block Group 2, Census Tract 21, Denver County, Colorado",1516,444,1338,359,0,11,0,11,69,101,0,11,39,70,70,77,0,11,70,77
"123","1500000US080310021003",80310021003,"Block Group 3, Census Tract 21, Denver County, Colorado",1010,218,894,220,11,19,0,11,29,45,0,11,66,72,10,15,0,11,10,15
"124","1500000US080310021004",80310021004,"Block Group 4, Census Tract 21, Denver County, Colorado",442,252,393,243,0,11,49,71,0,11,0,11,0,11,0,11,0,11,0,11
"125","1500000US080310021005",80310021005,"Block Group 5, Census Tract 21, Denver County, Colorado",1763,575,1458,545,0,11,0,11,9,16,0,11,160,152,136,188,0,11,136,188
"126","1500000US080310023001",80310023001,"Block Group 1, Census Tract 23, Denver County, Colorado",2567,520,1858,465,451,462,24,37,0,11,0,11,168,253,66,73,0,11,66,73
"127","1500000US080310023002",80310023002,"Block Group 2, Census Tract 23, Denver County, Colorado",1056,335,830,319,183,143,0,11,0,11,0,11,8,17,35,40,17,27,18,29
