"sport","location","tier","class","long","lat","sqft"
"Mixed-use","Sandos (M.L. Sam) Park","C",,-105.02659479,39.72634987,35964.4432786224
"Softball","Sandos (M.L. Sam) Park","C","BF-C",-105.0263558,39.72637396,31383.0823388976
"Baseball","46th & Pecos Park","B","BF-B",-105.00748316,39.78057318,31381.9501664954
"Mixed-use","Bates Hobart Park","C","MU-TURF",-105.06055633,39.66121681,28772.6992036748
"Softball","Bear Creek Park","C","BF-C",-105.04455673,39.6528851,17603.6869361272
"Baseball","Congress Park","B","BF-C",-104.95785669,39.73039784,31382.9707167399
"Cricket","42nd & Lisbon","C",,-104.74660551,39.77370733,50156.6944244259
"Softball","Eisenhower Park","C","BF-B",-104.93397231,39.65920391,31384.2666035942
"Mixed-use","Congress Park","C",,-104.95821285,39.73035364,28771.4150223787
"Softball","Congress Park","C","BF-C",-104.95832872,39.73027232,31264.0722494524
"Softball","Congress Park","C","BF-C",-104.95840358,39.72959141,31292.6089429739
"Softball","Congress Park","C","BF-C",-104.95749294,39.72956017,31383.0043053243
"Mixed-use","Congress Park","B",,-104.95797472,39.72957251,40459.9195249999
"Mixed-use","Eisenhower Park","C",,-104.93473528,39.65936528,69234.3412228416
"Mixed-use","Congress Park","B","MU-TURF",-104.95594782,39.72954267,35964.4188979862
"Softball","Cook Park","C","BF-C",-104.91109754,39.68675978,31383.8600364002
"Mixed-use","Eastmoor Park","C","MU-TURF",-104.90830161,39.63983948,28773.0510764696
"Mixed-use","Eisenhower Park","C",,-104.93638279,39.65990024,28772.7525919206
"Mixed-use","Eisenhower Park","C",,-104.93550616,39.65914102,35965.9280406366
"Softball","Eisenhower Park","C","BF-B",-104.9365093,39.65968998,31339.0688301047
"Mixed-use","Cook Park","C","MU-TURF",-104.90958681,39.68713335,13486.9599516231
"Mixed-use","Cook Park","C","MU-TURF",-104.90959561,39.68679023,13487.0056519261
"Softball","Eisenhower Park","C","BF-B",-104.93584306,39.65914069,31317.3667303977
"Softball","Northfield Athletic Complex","A","BF-A",-104.87772493,39.797389,70408.7294384784
"Baseball","Northfield Athletic Complex","A","BF-A",-104.87640744,39.79748766,131365.613227869
"Mixed-use","Northfield Athletic Complex","A","MU-SYN",-104.87971208,39.79641151,78960.5292113621
"Mixed-use","Cranmer Park","C","MU-TURF",-104.93555228,39.72005986,28771.7472030414
"Mixed-use","Cranmer Park","C","MU-TURF",-104.93607525,39.72006607,29112.0261415017
"Mixed-use","Cranmer Park","C",,-104.93658179,39.72006454,28794.4223237738
"Mixed-use","Eastmoor Park","C","MU-TURF",-104.90924958,39.63986569,35966.4191197705
"Softball","Bible (James A) Park","B","BF-B",-104.90733492,39.66636096,70572.1768452451
"Softball","Cranmer Park","C","BF-C",-104.93669038,39.72039022,31070.0766025049
"Softball","Cranmer Park","C","BF-C",-104.93663246,39.71968384,31195.5077739099
"Baseball","Bible (James A) Park","B","BF-B",-104.90590688,39.6648422,108199.951923631
"Softball","Cranmer Park","C","BF-C",-104.9366475,39.71840067,31383.204264677
"Mixed-use","Cranmer Park","C",,-104.93661061,39.71847398,40460.3969476114
"Mixed-use","Cranmer Park","C",,-104.93575531,39.71822145,53947.1043366743
"Mixed-use","Cranmer Park","C","MU-TURF",-104.93575083,39.71877811,53947.0949479444
"Softball","Crestmoor Park","C","BF-C",-104.91492339,39.71445502,31383.3756181774
"Mixed-use","Crestmoor Park","C",,-104.91525292,39.71460986,53947.1817432191
"Mixed-use","Crestmoor Park","C","MU-TURF",-104.91613052,39.71633083,28771.7043985148
"Mixed-use","Crestmoor Park","C","MU-TURF",-104.91573756,39.71655252,28771.7349714141
"Mixed-use","Crestmoor Park","C","MU-TURF",-104.91398659,39.71674332,53947.099900928
"Softball","Sloans Lake Park","C","BF-C",-105.045635,39.75432879,66407.8058276465
"Softball","Valverde Park","A","BF-A",-105.00339768,39.71385027,17791.4079807858
"Softball","Valverde Park","A","BF-A",-105.00267376,39.71387481,13278.5410562565
"Softball","Valverde Park","A","BF-A",-105.00343016,39.71340655,13278.5427094273
"Softball","Valverde Park","A","BF-A",-105.00262312,39.71336683,6641.21231086738
"Football","Valverde Park","A",,-105.00305903,39.71361147,45054.6106756839
"Football","Valverde Park","A",,-105.00304948,39.71386999,28797.8304328388
"Football","Valverde Park","A",,-105.0030577,39.71340873,28797.7906137641
"Softball","Bear Creek Park","C","BF-C",-105.05066071,39.65145833,17603.7214492149
"Mixed-use","Cook Park","C","MU-TURF",-104.91074866,39.68787431,53947.9148464532
"Rugby","Observatory Park","C",,-104.95269902,39.67534273,53948.3584803875
"Mixed-use","Cook Park","C","MU-TURF",-104.91028938,39.68694895,53948.1167242947
"Mixed-use","McNichols Park","C",,-104.89928617,39.7442356,16183.8465973415
"Mixed-use","McNichols Park","C",,-104.89932832,39.74517323,25174.9598589303
"Mixed-use","Dunham Park","C","MU-TURF",-104.95478337,39.77807077,20389.123816917
